route,phase,wkdy 2025,wkdy 2026,wkdy %,sun %,sat %,wkdy % vs ctrl
60,2025-03-23,10283,11578,12.6,18.6,12.7,11.8
63,2025-03-23,11948,13220,10.6,16.0,8.4,9.8
47,2025-03-23,8512,9375,10.1,15.2,3.2,9.3
95,2025-03-23,4650,4968,6.8,7.9,2.7,6.0
J14,2025-03-23,7513,7826,4.2,12.1,10.5,3.4
34,2025-03-23,3461,3544,2.4,18.6,-1.0,1.6
79,2025-03-23,17264,17501,1.4,6.6,-3.1,0.6
54,2025-03-23,8353,8243,-1.3,3.1,-0.2,-2.1
49,2025-06-15,12610,13958,10.7,9.5,3.3,9.9
4,2025-06-15,13177,14456,9.7,24.3,4.7,8.9
66,2025-06-15,18368,16248,-11.5,-0.3,-6.8,-12.3
53,2025-08-17,14920,18112,21.4,29.4,21.6,20.6
55,2025-08-17,7188,7751,7.8,15.2,12.9,7.0
20,2025-08-17,13210,14224,7.7,25.6,2.6,6.9
77,2025-08-17,14050,14856,5.7,18.8,7.7,4.9
82,2025-08-17,13110,13820,5.4,20.0,10.8,4.6
9,2025-12-21,16465,18278,11.0,7.3,3.5,10.2
72,2025-12-21,10906,11384,4.4,14.4,4.1,3.6
12,2025-12-21,9620,10018,4.1,24.9,13.9,3.3
81,2025-12-21,8974,9151,2.0,10.2,8.0,1.2
